user_id,email,first_name,last_name,gender,birthday,city,state,newsletter_sign_up_date,Age,Total_Lifetime_Value,Region
1,byrle@gmail.com,Byrle,Grinishin,Male,8/13/66,Indianapolis,Indiana,,53,87.4,Midwest Region
2,lucius@gmail.com,Lucius,Fairholme,Male,6/4/65,Dallas,Texas,4/24/17,54,511.95,South Region
3,nefen@gmail.com,Nefen,Matthew,Male,,Brooklyn,New York,7/16/18,,515.4,Northeast Region
4,phillie@gmail.com,Phillie,Lanigan,Female,4/17/68,Washington,District of Columbia,3/28/17,52,5,South Region
5,alfredo@gmail.com,Alfredo,Filipiak,Male,12/20/75,Sarasota,Florida,4/11/17,44,59.5,South Region
6,peggi@gmail.com,Peggi,Hackwell,Female,4/18/79,Evansville,Indiana,,41,120,Midwest Region
7,shannen@gmail.com,Shannen,Innocent,Female,9/2/83,El Paso,Texas,10/21/17,36,230.6,South Region
8,kelsy@gmail.com,Kelsy,Oosthout de Vree,Female,12/16/62,Peoria,Illinois,12/3/17,57,403.85,Midwest Region
9,creighton@gmail.com,Creighton,Khadir,Male,3/19/86,Lubbock,Texas,,34,220.1,South Region
10,pavlov@gmail.com,Pavlov,Pecha,Male,1/14/72,Atlanta,Georgia,10/18/16,48,5,South Region
11,sebastian@gmail.com,Sebastian,Ritson,Male,5/11/75,San Jose,California,2/4/18,45,70,West Region
12,ulrika@gmail.com,Ulrika,Yurov,Female,11/23/87,Topeka,Kansas,5/4/17,32,71.2,Midwest Region
13,vikky@gmail.com,Vikky,MacGaughie,Female,8/24/66,Louisville,Kentucky,4/11/18,53,105,South Region
14,megan@gmail.com,Megan,Dunkley,Female,12/24/72,Kalamazoo,Michigan,12/12/17,47,70,Midwest Region
15,jemima@gmail.com,Jemima,Marsden,Female,7/4/74,Inglewood,California,9/2/16,45,56.5,West Region
16,shirline@gmail.com,Shirline,Vignaux,Female,11/3/58,Lincoln,Nebraska,8/12/17,61,539.9,Midwest Region
17,tracy@gmail.com,Tracy,Behling,Female,1/18/73,Baltimore,Maryland,,47,20,South Region
18,standford@gmail.com,Standford,Rodda,Male,2/14/59,Fort Worth,Texas,7/16/17,61,100,South Region
19,lonnie@gmail.com,Lonnie,Furminger,Male,6/1/68,Hampton,Virginia,,51,70,South Region
20,jedidiah@gmail.com,Jedidiah,Matchitt,Male,2/26/83,Tampa,Florida,,37,416.9,South Region
21,hailey@gmail.com,Hailey,Shipp,Male,10/3/61,Cheyenne,Wyoming,7/25/17,58,106.7,West Region
22,wilburt@gmail.com,Wilburt,Parsand,Male,8/12/71,Fargo,North Dakota,,48,150.9,Midwest Region
23,lief@gmail.com,Lief,Ilchenko,Male,5/28/84,Raleigh,North Carolina,4/20/17,35,#N/A,South Region
24,meggi@gmail.com,Meggi,Ricardin,Female,6/12/84,Austin,Texas,1/24/18,35,14.4,South Region
25,edvard@gmail.com,Edvard,Bramer,Male,5/12/84,Wichita,Kansas,9/18/17,36,37.5,Midwest Region
26,corbin@gmail.com,Corbin,Sheather,Male,6/7/64,San Antonio,Texas,11/12/17,55,70,South Region
27,luis@gmail.com,Luis,Goadbie,Male,2/11/54,Washington,District of Columbia,,66,166.6,South Region
28,cherey@gmail.com,Cherey,Hansemann,Female,3/24/87,Tuscaloosa,Alabama,7/29/17,33,117.5,South Region
29,urson@gmail.com,Urson,de Zamora,Male,2/24/71,Roanoke,Virginia,8/11/18,49,20,South Region
30,anabal@gmail.com,Anabal,Coopman,Female,7/26/88,Charlotte,North Carolina,8/21/17,31,56.8,South Region
31,sophey@gmail.com,Sophey,Greeve,Female,1/9/83,Petaluma,California,11/24/16,37,16.4,West Region
32,constantine@gmail.com,Constantine,Ruffey,Male,12/5/51,Idaho Falls,Idaho,5/27/17,68,80,West Region
33,jobie@gmail.com,Jobie,Walkingshaw,Female,6/18/84,New York City,New York,,35,20,Northeast Region
